TimeStamp,Application,Log Name,GPU0,GPU1,CPU,Resolution,Runtime,Avg FPS,1% Low,AvgPCLatency (ms),    ,Min FPS,Max FPS,0.1% Low FPS,Time (ms),MinPCLatency (ms),MaxPCLatency (ms),RenderPresentLatency (ms),Min Present FPS,Max Present FPS,1% Low Present FPS,0.1% Low Present FPS,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0 Util%,GPU0 Temp (C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1 Util%,GPU1 Temp (C),Perf/Watt (F/J) (PCAT),PCAT Power (Watts),GPU NV Power (Watts) (API),CPUClk(MHz),CPU Util %,CPU Temp (C),CPU Package Power(Watts),Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W),Battery Charge Rate(W),OS,GPU Base Driver,GPU Driver Package,System RAM,Motherboard
2025-09-01T161332,helldivers2.exe,FrameView_helldivers2.exe_2025_09_01T161023_Log.csv,NVIDIA GeForce RTX 3090,NA,AMD Ryzen 9 5950X 16-Core Processor            ,2560x2151,D3D12,88.621,34.326,NA,  ,0.714,255.050,9.158,189.855,NA,NA,5.102,0.713,114.086,40.691,9.401,1920.000,9751.000,72.792,72.896,NA,NA,NA,NA,NA,NA,324,4269.769,42.415,76.302,125.515,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.26100,NVIDIA: r581_07 ,NVIDIA: 58115 ,64GB DDR4 2666 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B550-F GAMING (WI-FI)
2025-09-01T161332,chrome.exe,FrameView_chrome.exe_2025_09_01T161031_Log.csv,NVIDIA GeForce RTX 3090,NA,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,25.336,0.988,NA,  ,0.214,260.885,0.290,128.474,NA,NA,1.467,0.000,1899.335,0.000,0.000,1920.000,9751.000,73.628,72.434,NA,NA,NA,NA,NA,NA,315,4280.753,44.479,76.312,126.104,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.26100,NVIDIA: r581_07 ,NVIDIA: 58115 ,64GB DDR4 2666 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B550-F GAMING (WI-FI)
