Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.872092,NA,4.375,4.155,0.087,1.604,7.844,0.367,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.709,0.901,0.709,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.876238,NA,4.146,4.271,0.098,3.118,7.969,0.752,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.748,0.950,0.748,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.880292,NA,4.054,4.125,0.068,0.827,8.041,0.204,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.765,0.972,0.765,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.884679,NA,4.387,4.128,0.083,2.145,7.782,0.489,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.707,0.898,0.707,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,1,0,2940.888824,NA,4.145,0.000,0.070,4.023,0.000,0.971,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.748,0.951,0.748,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.892788,NA,3.965,12.556,0.074,5.182,12.229,1.307,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.782,0.994,0.782,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,1,0,2940.897120,NA,4.332,0.000,0.070,5.690,0.000,1.314,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.716,0.910,0.716,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.901794,NA,4.674,4.127,0.212,2.347,7.349,0.502,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.664,0.843,0.664,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.905639,NA,3.845,5.020,0.121,0.309,8.525,0.080,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.807,1.025,0.807,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,1,0,2940.909461,NA,3.822,0.000,0.069,5.045,0.000,1.320,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.812,1.031,0.812,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
