Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2962.981636,NA,2.065,4.210,0.218,2.052,7.990,0.994,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,1.490,1.893,1.490,255,324,324,NA,4262,48, 76,131.524,NA,68,74,71,63,46,49,63,54,62,54,71,55,46,52,43,48,37,45,36,45,28,42,33,39,41,43,31,43,33,42,34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2962.996447,NA,14.810,12.512,0.175,1.068,5.692,0.072,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,0.208,0.264,0.208,255,324,324,NA,4262,48, 76,131.524,NA,68,74,71,63,46,49,63,54,62,54,71,55,46,52,43,48,37,45,36,45,28,42,33,39,41,43,31,43,33,42,34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2963.601342,NA,604.895,608.888,0.178,2.903,9.684,0.005,NA,1920,9751,72,73,NA,NA,NA,NA,NA,NA,0.005,0.006,0.005,257,325,325,NA,4290,47, 77,132.865,NA,76,65,78,56,48,49,61,53,62,48,75,51,55,49,47,44,40,41,36,41,32,37,32,39,35,45,34,41,30,42,33,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2968.751661,NA,4.291,4.157,0.102,0.182,6.192,0.042,NA,1920,9751,73,73,NA,NA,NA,NA,NA,NA,0.711,0.900,0.711,258,327,327,NA,4243,38, 76,122.971,NA,51,66,50,60,27,45,42,46,32,48,45,50,31,48,31,39,22,42,27,38,15,34,24,36,27,40,19,38,24,38,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2968.877137,NA,125.476,129.304,0.174,0.793,10.021,0.006,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,0.024,0.031,0.024,259,328,328,NA,4251,39, 76,122.971,NA,62,64,48,69,31,45,45,48,36,50,48,53,31,50,30,42,26,40,25,37,17,32,23,39,31,36,25,31,25,36,25,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,423x23,Other,0,9392,0x000002A556DF1AC0,0,0,Composed: Flip,0,0,2968.880032,NA,1.851,0.000,0.194,0.179,11.303,0.097,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,1.647,2.085,1.647,259,328,328,NA,4251,39, 76,122.971,NA,62,64,48,69,31,45,45,48,36,50,48,53,31,50,30,42,26,40,25,37,17,32,23,39,31,36,25,31,25,36,25,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2968.898158,NA,21.021,16.678,0.201,1.295,5.678,0.062,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,0.145,0.184,0.145,259,328,328,NA,4251,39, 76,122.971,NA,62,64,48,69,31,45,45,48,36,50,48,53,31,50,30,42,26,40,25,37,17,32,23,39,31,36,25,31,25,36,25,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,3000.381184,NA,38.760,45.944,0.195,2.144,16.844,0.055,NA,1920,9751,73,74,NA,NA,NA,NA,NA,NA,0.077,0.097,0.077,266,336,336,NA,4230,39, 76,125.338,NA,62,61,62,47,45,32,50,41,47,47,60,39,45,35,42,31,40,27,37,25,35,18,36,23,38,27,36,21,36,27,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,3000.392107,NA,10.922,3.991,0.238,1.734,9.913,0.159,NA,1920,9751,73,74,NA,NA,NA,NA,NA,NA,0.272,0.343,0.272,266,336,336,NA,4230,39, 76,125.338,NA,62,61,62,47,45,32,50,41,47,47,60,39,45,35,42,31,40,27,37,25,35,18,36,23,38,27,36,21,36,27,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,3000.402261,NA,10.154,8.367,0.127,1.718,8.126,0.169,NA,1920,9751,73,74,NA,NA,NA,NA,NA,NA,0.293,0.369,0.293,266,336,336,NA,4230,39, 76,125.338,NA,62,61,62,47,45,32,50,41,47,47,60,39,45,35,42,31,40,27,37,25,35,18,36,23,38,27,36,21,36,27,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
